,y_coords,x_coords,mark
0,20,7,1
1,21,7,1
2,22,7,1
3,20,8,1
4,21,8,1
5,14,9,1
6,15,9,1
7,16,9,1
8,20,9,1
9,21,9,1
10,22,9,1
11,14,10,1
12,16,10,1
13,20,10,1
14,22,10,1
15,14,11,1
16,16,11,1
17,20,11,1
18,22,11,1
19,14,12,1
20,16,12,1
21,20,12,1
22,22,12,1
23,14,13,1
24,15,13,1
25,16,13,1
26,17,13,1
27,18,13,1
28,19,13,1
29,20,13,1
30,22,13,1
31,23,13,1
32,14,14,1
33,15,14,1
34,16,14,1
35,17,14,1
36,18,14,1
37,23,14,1
38,25,14,1
39,26,14,1
40,27,14,1
41,18,15,1
42,23,15,1
43,25,15,1
44,26,15,1
45,27,15,1
46,15,16,1
47,16,16,1
48,17,16,1
49,18,16,1
50,23,16,1
51,25,16,1
52,26,16,1
53,27,16,1
54,11,17,1
55,12,17,1
56,13,17,1
57,14,17,1
58,15,17,1
59,17,17,1
60,20,17,1
61,21,17,1
62,22,17,1
63,23,17,1
64,24,17,1
65,25,17,1
66,26,17,1
67,27,17,1
68,10,18,1
69,11,18,1
70,13,18,1
71,14,18,1
72,15,18,1
73,16,18,1
74,17,18,1
75,18,18,1
76,20,18,1
77,24,18,1
78,25,18,1
79,26,18,1
80,27,18,1
81,9,19,1
82,10,19,1
83,11,19,1
84,13,19,1
85,17,19,1
86,18,19,1
87,19,19,1
88,20,19,1
89,25,19,1
90,26,19,1
91,27,19,1
92,9,20,1
93,10,20,1
94,11,20,1
95,13,20,1
96,17,20,112
97,18,20,1
98,25,20,1
99,27,20,1
100,9,21,1
101,10,21,1
102,11,21,1
103,13,21,1
104,17,21,1
105,18,21,1
106,25,21,1
107,26,21,1
108,27,21,1
109,9,22,1
110,10,22,1
111,11,22,1
112,13,22,1
113,17,22,1
114,18,22,1
115,25,22,1
116,26,22,1
117,9,23,1
118,10,23,1
119,11,23,1
120,12,23,1
121,13,23,1
122,14,23,1
123,15,23,1
124,16,23,1
125,17,23,1
126,18,23,1
127,19,23,1
128,20,23,1
129,24,23,1
130,25,23,1
131,26,23,1
132,27,23,1
133,9,24,1
134,13,24,1
135,14,24,1
136,17,24,1
137,18,24,1
138,20,24,1
139,24,24,1
140,25,24,1
141,26,24,1
142,27,24,1
143,9,25,1
144,13,25,1
145,14,25,1
146,15,25,1
147,17,25,1
148,18,25,1
149,19,25,1
150,20,25,1
151,27,25,1
152,13,26,1
153,14,26,1
154,15,26,1
155,17,26,1
156,18,26,1
157,19,26,1
158,13,27,1
159,14,27,1
160,15,27,1
161,16,27,1
162,17,27,1
163,18,27,1
164,19,27,1
165,16,28,1
166,17,28,1
167,18,28,1
168,19,28,1
169,16,29,1
170,17,29,1
171,18,29,1
172,19,29,1
173,16,30,1
174,17,30,1
175,18,30,1
176,19,30,1
177,16,31,1
178,17,31,1
179,18,31,1
180,19,31,1
181,14,32,66
182,15,32,66
183,16,32,1
184,17,32,1
185,18,32,1
186,19,32,1
187,14,33,66
188,15,33,66
189,16,33,66
190,17,33,1
191,18,33,1
192,19,33,1
193,14,34,66
194,15,34,66
195,16,34,66
196,17,34,66
197,18,34,1
198,19,34,1
199,14,35,66
200,15,35,66
201,16,35,66
202,17,35,66
203,18,35,1
204,19,35,1
205,14,36,66
206,15,36,66
207,16,36,66
208,17,36,66
209,18,36,1
210,19,36,1
211,22,36,66
212,23,36,66
213,24,36,66
214,25,36,66
215,26,36,66
216,27,36,66
217,14,37,66
218,15,37,66
219,16,37,66
220,17,37,66
221,18,37,1
222,19,37,1
223,22,37,66
224,23,37,66
225,24,37,66
226,25,37,66
227,26,37,66
228,27,37,66
229,12,38,66
230,13,38,66
231,14,38,66
232,15,38,66
233,16,38,66
234,18,38,1
235,19,38,1
236,20,38,1
237,21,38,1
238,22,38,1
239,24,38,66
240,25,38,66
241,26,38,66
242,27,38,66
243,12,39,66
244,13,39,66
245,14,39,66
246,15,39,66
247,16,39,66
248,17,39,1
249,18,39,1
250,19,39,1
251,20,39,1
252,21,39,1
253,22,39,1
254,24,39,1
255,25,39,1
256,26,39,66
257,27,39,66
258,12,40,66
259,13,40,66
260,14,40,66
261,15,40,1
262,16,40,1
263,17,40,1
264,18,40,1
265,19,40,1
266,20,40,1
267,24,40,1
268,25,40,1
269,12,41,1
270,13,41,1
271,14,41,1
272,15,41,1
273,16,41,1
274,17,41,1
275,18,41,1
276,19,41,1
277,20,41,1
278,24,41,1
279,25,41,1
280,12,42,1
281,13,42,1
282,14,42,1
283,15,42,1
284,16,42,1
285,17,42,1
286,12,43,1
287,13,43,1
288,14,43,1
289,15,43,1
290,16,43,1
291,17,43,1
292,12,44,1
293,13,44,1
294,14,44,1
295,15,44,1
296,12,45,1
297,13,45,1
298,14,45,1
299,15,45,1
300,12,46,1
301,13,46,1
302,14,46,1
303,15,46,1
304,13,47,1
305,14,47,1
306,15,47,1
307,12,48,1
308,13,48,1
309,14,48,1
310,15,48,1
311,12,49,1
312,13,49,1
313,15,49,1
314,12,50,1
315,13,50,1
316,14,50,1
317,15,50,1
318,12,51,1
319,13,51,1
320,14,51,1
321,15,51,1
322,12,52,1
323,13,52,1
324,14,52,1
325,15,52,1
