,y_coords,x_coords,mark
0,7,-18,1
1,8,-18,1
2,9,-18,1
3,10,-18,1
4,11,-18,1
5,12,-18,1
6,13,-18,1
7,6,-17,1
8,7,-17,1
9,8,-17,1
10,9,-17,1
11,10,-17,1
12,11,-17,1
13,12,-17,1
14,13,-17,1
15,10,-16,1
16,11,-16,1
17,12,-16,1
18,13,-16,1
19,10,-15,1
20,11,-15,1
21,12,-15,1
22,13,-15,1
23,6,-14,1
24,10,-14,1
25,11,-14,1
26,12,-14,1
27,13,-14,1
28,6,-13,1
29,10,-13,1
30,11,-13,1
31,12,-13,1
32,13,-13,1
33,6,-12,1
34,7,-12,1
35,8,-12,1
36,9,-12,1
37,10,-12,1
38,11,-12,1
39,12,-12,1
40,13,-12,1
41,6,-11,1
42,7,-11,1
43,8,-11,1
44,9,-11,1
45,10,-11,1
46,11,-11,1
47,12,-11,1
48,13,-11,1
49,14,-11,1
50,6,-10,1
51,7,-10,1
52,8,-10,1
53,9,-10,1
54,10,-10,1
55,11,-10,1
56,12,-10,1
57,13,-10,1
58,14,-10,1
59,15,-10,1
60,6,-9,1
61,8,-9,1
62,9,-9,1
63,10,-9,1
64,11,-9,1
65,12,-9,1
66,13,-9,1
67,14,-9,1
68,15,-9,1
69,16,-9,1
70,5,-8,1
71,6,-8,1
72,7,-8,1
73,8,-8,1
74,9,-8,1
75,10,-8,1
76,11,-8,1
77,12,-8,1
78,13,-8,1
79,14,-8,1
80,15,-8,1
81,16,-8,1
82,5,-7,1
83,6,-7,1
84,7,-7,1
85,8,-7,1
86,9,-7,1
87,10,-7,1
88,11,-7,1
89,12,-7,1
90,13,-7,1
91,14,-7,1
92,15,-7,1
93,16,-7,1
94,5,-6,1
95,6,-6,1
96,7,-6,1
97,8,-6,1
98,9,-6,1
99,10,-6,1
100,11,-6,1
101,12,-6,1
102,13,-6,1
103,14,-6,1
104,15,-6,1
105,16,-6,1
106,17,-6,1
107,5,-5,1
108,6,-5,1
109,7,-5,1
110,8,-5,1
111,9,-5,1
112,10,-5,1
113,11,-5,1
114,12,-5,1
115,13,-5,1
116,14,-5,1
117,15,-5,1
118,16,-5,1
119,17,-5,1
120,5,-4,1
121,6,-4,1
122,7,-4,1
123,8,-4,1
124,9,-4,1
125,10,-4,1
126,11,-4,1
127,12,-4,1
128,13,-4,1
129,14,-4,1
130,15,-4,1
131,5,-3,1
132,6,-3,1
133,7,-3,1
134,8,-3,1
135,9,-3,1
136,10,-3,1
137,11,-3,1
138,12,-3,1
139,13,-3,1
140,14,-3,1
141,15,-3,1
142,5,-2,1
143,6,-2,1
144,7,-2,1
145,8,-2,1
146,9,-2,1
147,10,-2,1
148,11,-2,1
149,12,-2,1
150,13,-2,1
151,14,-2,1
152,15,-2,1
153,5,-1,1
154,6,-1,1
155,7,-1,1
156,8,-1,1
157,9,-1,1
158,10,-1,1
159,11,-1,1
160,12,-1,1
161,13,-1,1
162,14,-1,1
163,15,-1,1
164,16,-1,1
165,7,0,1
166,8,0,1
167,9,0,1
168,10,0,1
169,11,0,1
170,12,0,1
171,13,0,1
172,14,0,1
173,15,0,1
174,16,0,1
175,17,0,1
176,7,1,1
177,8,1,1
178,9,1,1
179,10,1,1
180,11,1,1
181,12,1,1
182,13,1,1
183,14,1,1
184,15,1,1
185,16,1,1
186,17,1,1
187,18,1,1
188,7,2,1
189,8,2,1
190,9,2,1
191,10,2,1
192,11,2,1
193,12,2,1
194,13,2,1
195,14,2,1
196,15,2,1
197,16,2,1
198,17,2,1
199,18,2,1
200,8,3,1
201,9,3,1
202,10,3,1
203,11,3,1
204,12,3,1
205,13,3,1
206,14,3,1
207,15,3,1
208,16,3,1
209,17,3,1
210,18,3,1
211,5,4,1
212,6,4,1
213,7,4,1
214,8,4,1
215,9,4,1
216,10,4,1
217,11,4,1
218,12,4,1
219,13,4,1
220,14,4,1
221,15,4,1
222,16,4,1
223,17,4,1
224,18,4,1
225,19,4,1
226,5,5,1
227,8,5,1
228,9,5,1
229,10,5,1
230,11,5,1
231,12,5,1
232,13,5,1
233,14,5,1
234,18,5,1
235,19,5,1
236,9,6,1
237,10,6,1
238,11,6,1
239,12,6,1
240,13,6,1
241,14,6,1
242,18,6,1
243,19,6,1
244,8,7,1
245,9,7,1
246,10,7,1
